x,y,z,t,layer,id
-64.81845396199287,-208.12341045287826,135.79351053621357,2,1,77
-63.216983257688646,-205.0013756300152,135.2434580547679,3,1,77
-63.51027032331248,-205.1838036026634,132.13072243580896,4,1,77
57.01920242255464,-198.70326927996015,162.77342930639026,1,1,78
58.18879337415065,-198.59850428865383,161.97437557821561,2,1,78
58.283949905811,-198.8040795197029,161.906478613585,3,1,78
58.902849667970045,-199.431289979465,160.67762535039458,4,1,78
-86.76082078189603,-212.3161617512128,128.22610595285477,1,1,79
-85.24844558507925,-214.11163580093645,126.10972669612845,2,1,79
-85.63985606204832,-216.69672694295517,124.511703404832,3,1,79
-85.32290369281309,-216.4336698766866,121.91666548940694,4,1,79
4.03389440243518,-252.82811926185207,53.715949831341135,1,1,80
6.699249143570803,-253.01459170144832,52.05660229013326,2,1,80
7.953419762667735,-252.07403102648874,50.52725302382413,3,1,80
9.497529512304489,-252.813246456755,49.337926531990675,4,1,80
3.6230094096177083,-264.5515685571495,17.948654782046937,1,1,81
6.142777960860734,-263.42384691467913,15.50034996951591,2,1,81
6.363951862024344,-264.02303973840793,15.77157365202503,3,1,81
6.567005579312962,-263.90712809534887,16.56631807791821,4,1,81
5.591449743482556,-254.79446546501106,14.257849598703302,1,1,82
8.599224972826207,-252.9498508646972,12.524931373356887,2,1,82
7.640853560387647,-253.37430165274304,15.579258193395145,3,1,82
10.218830863866735,-253.01368010317105,13.55226201791998,4,1,82
-57.745859648413294,-208.26001763319894,128.0021431961564,1,1,83
-55.23919062424747,-207.47976021684076,126.60581129865824,2,1,83
-56.40317869321441,-210.67825806586677,129.50792545816716,3,1,83
-52.97851395737407,-207.08819422660645,128.97345998236082,4,1,83
-50.96254108847393,-210.6116868137083,117.26105045007954,1,1,84
-50.678659397646555,-209.25461139750038,116.31875320522309,2,1,84
-51.9157526004654,-209.25194200257084,119.65346638880675,3,1,84
-50.04300270475409,-209.68911485147387,119.14049478416756,4,1,84
-43.675631850741574,-246.120591551047,93.87436844694676,1,1,85
-42.18382353673145,-245.66472270847856,93.16395476044525,2,1,85
-42.47169199566715,-246.3689466545457,93.67666206344428,3,1,85
-41.18448567242708,-247.5227357528296,91.94287684655254,4,1,85
-8.458039015512774,-190.25759549536778,178.55949411004775,1,1,86
-5.529081793699689,-188.35204931257482,178.903822394855,2,1,86
-4.900866118680028,-189.28242310566117,178.23226659101985,3,1,86
-2.989659990441723,-190.72861541893178,177.55415916740955,4,1,86
-15.275070782363073,-192.53474260315858,189.51354034599336,1,1,87
-13.825190544314708,-192.52606767307768,188.86339805469893,2,1,87
-13.387897178320358,-193.86774773180178,188.29020295319717,3,1,87
-11.36076531419144,-194.7831862331251,187.3586322879491,4,1,87
17.407233677606733,-183.8845448200984,165.03015049695938,1,1,88
20.38700734678003,-183.13172856041874,165.36161748179458,2,1,88
20.82318916158164,-185.93712851077015,164.31096155121008,3,1,88
22.255761238444528,-186.47322573068078,162.22138490515604,4,1,88
-28.396191499474575,-157.47986389893885,223.7989257479315,1,1,89
-25.984581625720907,-158.02351040513096,221.9916788205562,2,1,89
-25.99175574904207,-158.5896232408856,222.03103423419367,3,1,89
-25.3574551159092,-159.2513902252241,220.74977238599618,4,1,89
45.61628039833297,-188.72456260634823,176.43847381533834,1,1,90
47.24720286162385,-188.8546635296984,175.32414839726772,2,1,90
46.505835538956596,-189.65776001217012,175.43815029255438,3,1,90
47.70451184110918,-189.98675164613434,173.88230208198271,4,1,90
-15.93833141521516,-242.75365130413928,83.0465590690948,1,1,91
-12.314082566894783,-240.4189412882966,78.59909009624283,2,1,91
-9.020598267970648,-240.30194388610806,70.51563698188457,3,1,91
-7.88697122381177,-239.91937249447062,68.41306612258603,4,1,91
-6.425620453008129,-230.42433050380657,48.45387844512483,1,1,92
-6.130715051506108,-231.3237124827929,47.29932781048141,2,1,92
-5.026932202523547,-232.3384182883312,45.49706737026911,3,1,92
-5.664018882110973,-232.33977124296132,47.209950744070426,4,1,92
-4.061058770977397,-223.3872177078737,58.17856664316952,1,1,93
-3.4659914865497754,-225.23520393983154,59.788796255721735,2,1,93
-2.776765099238361,-227.06546365027205,59.85781659836524,3,1,93
-1.1402718032386119,-228.71985727383844,57.984025239011636,4,1,93
20.432089057437608,-138.2877011463099,223.28073974650437,1,1,94
22.88170141079807,-138.29298385959845,221.7681828902789,2,1,94
23.69613640914889,-139.01961938210584,221.6293728801574,3,1,94
26.947696150161036,-139.81966973767007,221.42857642773401,4,1,94
-47.12216469224425,-216.7368659850341,133.71619889226744,1,1,95
-46.288598512079204,-216.4084695029892,131.5513192932971,2,1,95
-47.05471173979304,-219.6206717345728,131.71833184580925,3,1,95
-47.10254266342695,-219.26700223484372,131.27963470497102,4,1,95
-49.06939655173521,-218.03881009212566,124.06013962218249,1,1,96
-45.42868187301694,-216.06271482801182,123.23770779897076,2,1,96
-43.911931980737286,-218.25011560026073,123.43976238793975,3,1,96
-42.33350757315446,-218.80766533624399,122.70266601426599,4,1,96
-57.320612798610426,-218.80862204772268,128.6138612869664,1,1,97
-56.53147497368859,-219.0309772933141,127.22396598187305,2,1,97
-58.314641133147546,-221.2739721733013,129.08852601343847,3,1,97
-57.70370385545981,-220.955460392713,126.97663988395846,4,1,97
-22.02969172246103,-214.15919290914073,145.09766464912457,1,1,98
-21.176963118528548,-211.03126572959297,149.07594015769098,2,1,98
-21.10075400685595,-210.1885451069072,148.22236527029662,3,1,98
-18.95877194544463,-210.1474883302243,145.9947787041677,4,1,98
-19.429198431248857,-220.8411004371569,151.82502359817744,1,1,99
-17.752995921949157,-220.9639279111637,150.96647701888764,2,1,99
-17.05043716487745,-222.48445172770866,151.54957218482963,3,1,99
-15.742813674008069,-223.35128361591785,150.46738247041787,4,1,99
-35.0800910962825,-237.21433394820556,99.2530006755214,1,1,100
-36.04835317983886,-237.86709507062588,99.20751949668227,2,1,100
-37.15798594231248,-239.00390461368943,98.58661040481837,3,1,100
-36.505392374288306,-240.3526741498071,95.24202529974083,4,1,100
12.772553419162882,-169.18131855409632,176.9474630410164,1,1,101
15.549652316984963,-168.4427910201606,177.2426840691895,2,1,101
16.03218338362249,-168.74753096908782,177.67630213761308,3,1,101
17.44563891947756,-169.2196258044908,175.21562004476903,4,1,101
-17.937666569168147,-159.72339665171467,208.45346446228152,1,1,102
-15.471181078188966,-158.7033808858549,208.3342501073396,2,1,102
